mnem,pref,twobyte,pri_opcd,sec_opcd,+r,op_size,sign-ext,direction,tttn,mem_format,opcd_ext,mode,ring,lock,fpush,fpop,alias,part_alias,instr_ext,grp1,grp2,grp3,test_f,modif_f,def_f,undef_f,f_vals,exclusive,brief,op1_m,op1_t,op2_m,op2_t,op3_m,op3_t,op4_m,op4_t
bound,,0,62,,,,,1,,,,,f,,,,,,,gen,breakstack,,,i,i,,i,32,Check Array Index Against Bounds,6,15,11,0,,,,
arpl,,0,63,,,,,,,,,,,,,,,,,system,,,,z,z,,,32,Adjust RPL Field of Segment Selector,4,16,6,16,,,,
movsxd,,0,63,,,,,1,,,,e,,,,,,,,gen,conver,,,,,,,64,Move with Sign-Extension,6,25,4,3,,,,
push,,0,68,,,,,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,8,37,,,,,,
imul,,0,69,,,,,,,,,,,,,,,,,gen,arith,binary,,oszapc,oc,szap,,,Signed Multiply,6,36,4,36,8,35,,
push,,0,6A,,,,1,,,,,,,,,,,,,gen,stack,,,,,,,,Push Word Doubleword or Quadword Onto the Stack,8,23,,,,,,
imul,,0,6B,,,,1,,,,,,,,,,,,,gen,arith,binary,,oszapc,oc,szap,,,Signed Multiply,6,36,4,36,8,21,,
ins,,0,6C,,,0,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Input from Port to String,22,1,403,16,,,,
insb,,0,6C,,,0,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Input from Port to String,,,,,,,,
ins,,0,6D,,,1,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Input from Port to String,22,42,403,16,,,,
insw,,0,6D,,,1,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Input from Port to String,,,,,,,,
ins,,0,6D,,,1,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Input from Port to String,22,15,403,16,,,,
insd,,0,6D,,,1,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Input from Port to String,,,,,,,,
outs,,0,6E,,,0,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Output String to Port,403,16,21,1,,,,
outsb,,0,6E,,,0,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Output String to Port,,,,,,,,
outs,,0,6F,,,1,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Output String to Port,403,16,21,42,,,,
outsw,,0,6F,,,1,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Output String to Port,,,,,,,,
outs,,0,6F,,,1,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Output String to Port,403,16,21,15,,,,
outsd,,0,6F,,,1,,,,,,,f,,,,,,,gen,inoutstring,,d,,,,,,Output String to Port,,,,,,,,
jo,,0,70,,,,,,0,,,,,,,,,,,gen,branch,cond,o,,,,,,Jump short if overflow (OF=1),9,21,,,,,,
jno,,0,71,,,,,,1,,,,,,,,,,,gen,branch,cond,o,,,,,,Jump short if not overflow (OF=0),9,21,,,,,,
jb,,0,72,,,,,,10,,,,,,,,,,,gen,branch,cond,c,,,,,,Jump short if below/not above or equal/carry (CF=1),9,21,,,,,,
jnae,,0,72,,,,,,10,,,,,,,,,,,gen,branch,cond,c,,,,,,Jump short if below/not above or equal/carry (CF=1),9,21,,,,,,
jc,,0,72,,,,,,10,,,,,,,,,,,gen,branch,cond,c,,,,,,Jump short if below/not above or equal/carry (CF=1),9,21,,,,,,
jnb,,0,73,,,,,,11,,,,,,,,,,,gen,branch,cond,c,,,,,,Jump short if not below/above or equal/not carry (CF=0),9,21,,,,,,
jae,,0,73,,,,,,11,,,,,,,,,,,gen,branch,cond,c,,,,,,Jump short if not below/above or equal/not carry (CF=0),9,21,,,,,,
jnc,,0,73,,,,,,11,,,,,,,,,,,gen,branch,cond,c,,,,,,Jump short if not below/above or equal/not carry (CF=0),9,21,,,,,,
jz,,0,74,,,,,,100,,,,,,,,,,,gen,branch,cond,z,,,,,,Jump short if zero/equal (ZF=0),9,21,,,,,,
je,,0,74,,,,,,100,,,,,,,,,,,gen,branch,cond,z,,,,,,Jump short if zero/equal (ZF=0),9,21,,,,,,
jnz,,0,75,,,,,,101,,,,,,,,,,,gen,branch,cond,z,,,,,,Jump short if not zero/not equal (ZF=1),9,21,,,,,,
jne,,0,75,,,,,,101,,,,,,,,,,,gen,branch,cond,z,,,,,,Jump short if not zero/not equal (ZF=1),9,21,,,,,,
jbe,,0,76,,,,,,110,,,,,,,,,,,gen,branch,cond,zc,,,,,,Jump short if below or equal/not above (CF=1 AND ZF=1),9,21,,,,,,
jna,,0,76,,,,,,110,,,,,,,,,,,gen,branch,cond,zc,,,,,,Jump short if below or equal/not above (CF=1 AND ZF=1),9,21,,,,,,
jnbe,,0,77,,,,,,111,,,,,,,,,,,gen,branch,cond,zc,,,,,,Jump short if not below or equal/above (CF=0 AND ZF=0),9,21,,,,,,
ja,,0,77,,,,,,111,,,,,,,,,,,gen,branch,cond,zc,,,,,,Jump short if not below or equal/above (CF=0 AND ZF=0),9,21,,,,,,
js,,0,78,,,,,,1000,,,,,,,,,,,gen,branch,cond,s,,,,,,Jump short if sign (SF=1),9,21,,,,,,
jns,,0,79,,,,,,1001,,,,,,,,,,,gen,branch,cond,s,,,,,,Jump short if not sign (SF=0),9,21,,,,,,
jp,,0,7A,,,,,,1010,,,,,,,,,,,gen,branch,cond,p,,,,,,Jump short if parity/parity even (PF=1),9,21,,,,,,
jpe,,0,7A,,,,,,1010,,,,,,,,,,,gen,branch,cond,p,,,,,,Jump short if parity/parity even (PF=1),9,21,,,,,,
jnp,,0,7B,,,,,,1011,,,,,,,,,,,gen,branch,cond,p,,,,,,Jump short if not parity/parity odd,9,21,,,,,,
jpo,,0,7B,,,,,,1011,,,,,,,,,,,gen,branch,cond,p,,,,,,Jump short if not parity/parity odd,9,21,,,,,,
jl,,0,7C,,,,,,1100,,,,,,,,,,,gen,branch,cond,os,,,,,,Jump short if less/not greater (SF!=OF),9,21,,,,,,
jnge,,0,7C,,,,,,1100,,,,,,,,,,,gen,branch,cond,os,,,,,,Jump short if less/not greater (SF!=OF),9,21,,,,,,
jnl,,0,7D,,,,,,1101,,,,,,,,,,,gen,branch,cond,os,,,,,,Jump short if not less/greater or equal (SF=OF),9,21,,,,,,
